date,low_vol_prob,high_vol_prob,state,open,high,low,close,volume,simple_ret,log_ret
2021-01-22,0.999922789460943,7.721053900103752e-05,0,56.99,57.785,56.87,57.5,2621785,-0.0010423905489923,-0.0010429342158623
2021-01-25,0.9998928606342014,0.00010713936579527885,0,56.86,57.42,55.66,57.23,3682556,-0.0046956521739131,-0.0047067113822939
2021-01-26,0.9997809132474567,0.00021908675244317622,0,57.89,58.25,55.7,55.74,3060282,-0.0260352961733355,-0.0263802143672086
2021-01-27,0.9996980493943931,0.00030195060563723366,0,54.64,55.08,52.66,54.39,6283536,-0.0242195909580194,-0.0245177086189327
2021-01-28,0.999602813935483,0.00039718606463643347,0,54.14,54.85,53.0,54.38,5817027,-0.0001838573267144,-0.0001838742305446
2021-01-29,0.9991698455483445,0.0008301544518744386,0,53.85,54.705,51.76,51.9,8895444,-0.0456050018389114,-0.0466776490324818
2021-02-01,0.9994661743640664,0.000533825635977126,0,52.39,52.84,51.33,52.75,4128319,0.0163776493256262,0.0162449821843329
2021-02-02,0.9995342683208673,0.0004657316790905766,0,53.56,54.87,52.87,54.61,5223574,0.0352606635071091,0.0346532438078865
2021-02-03,0.9997745477099609,0.00022545229007259752,0,54.31,55.395,54.039,55.35,3984229,0.0135506317524263,0.0134596429905835
2021-02-04,0.9998626829757318,0.0001373170243646554,0,55.47,56.37,54.82,56.34,4312347,0.0178861788617885,0.0177281032935806
2021-02-05,0.9999096420035938,9.035799636161344e-05,0,56.74,57.83,56.44,57.24,3732511,0.0159744408945685,0.0158481922400234
2021-02-08,0.9999375508360399,6.244916385067902e-05,0,57.75,58.26,57.21,57.35,2543282,0.0019217330538086,0.0019198888871296
2021-02-09,0.999935836227847,6.416377198395775e-05,0,57.5,57.5153,56.37,56.6,4205306,-0.0130775937227549,-0.0131638583662423
2021-02-10,0.9999306004059813,6.939959424310383e-05,0,57.0,58.38,56.48,57.67,3425742,0.0189045936395759,0.018728122418184
2021-02-11,0.9999405499744007,5.945002576293841e-05,0,57.81,57.94,56.69,57.67,2326578,0.0,0.0
2021-02-12,0.9999245996092571,7.540039066854527e-05,0,57.56,58.27,57.445,58.15,1975051,0.0083232183110801,0.008288771337352
2021-02-16,0.9998718775370558,0.00012812246292373688,0,58.9,59.355,58.54,58.75,4072724,0.0103181427343077,0.0102652740595948
2021-02-17,0.9997267245139171,0.0002732754858644334,0,58.58,58.91,57.61,58.54,3276026,-0.0035744680851064,-0.0035808717605285
2021-02-18,0.9992714258445321,0.000728574155412012,0,58.3,58.665,57.1,57.56,3112563,-0.0167406901264092,-0.0168823992445726
2021-02-19,0.9982799261659424,0.0017200738338931237,0,57.75,60.53,57.75,60.39,4037102,0.0491660875608059,0.0479956463006426
2021-02-22,0.9984491218960984,0.0015508781039805456,0,60.62,62.56,60.2,62.48,5635660,0.0346083788706739,0.0340229772116206
2021-02-23,0.9988066392566907,0.0011933607432030354,0,62.94,62.97,61.51,62.12,4147279,-0.0057618437900127,-0.0057785072509441
2021-02-24,0.9986683841981406,0.0013316158016809909,0,62.0,63.98,61.943,63.69,4668567,0.0252736638763684,0.0249595661027882
2021-02-25,0.9983643635610531,0.0016356364388579174,0,62.48,62.837,61.125,61.35,3251657,-0.0367404616109279,-0.0374323932263539
2021-02-26,0.9984499303474312,0.0015500696526813316,0,60.85,61.05,58.8,59.31,6385216,-0.0332518337408312,-0.0338172453062852
2021-03-01,0.9987455840378557,0.0012544159623035789,0,61.15,62.27,60.57,61.54,4084252,0.037599055808464,0.0369094440432605
2021-03-02,0.9993965811613751,0.0006034188386960751,0,62.21,64.04,61.8,62.73,7316038,0.0193370165745856,0.0191524322147561
2021-03-03,0.9997140985600759,0.00028590144000921014,0,62.5,63.39,62.01,62.25,5390315,-0.0076518412242945,-0.0076812667638348
2021-03-04,0.999799298921639,0.0002007010783112512,0,62.06,62.62,60.09,61.2,6050394,-0.016867469879518,-0.0170113458265365
2021-03-05,0.9998174821777045,0.00018251782213572453,0,62.12,63.04,60.75,62.91,3883764,0.0279411764705881,0.0275579440636577
2021-03-08,0.9998825367141925,0.00011746328584070588,0,63.17,64.2701,62.51,63.44,4437617,0.0084247337466221,0.0083894437446542
2021-03-09,0.9998763325238208,0.00012366747639153936,0,63.67,63.71,61.91,62.26,5823245,-0.0186002522068096,-0.0187754123131304
2021-03-10,0.9998579096272281,0.0001420903729887852,0,62.62,64.46,62.37,64.09,4238456,0.0293928686154836,0.0289691805026735
2021-03-11,0.9999109820515795,8.901794844339185e-05,0,64.33,65.27,64.22,64.32,3651810,0.0035887033858634,0.0035822793545753
