timestamp,open,high,low,close,volume
2025-03-06,90607.73000000,92817.29000000,87790.50000000,89921.85000000,13303.43744669
2025-03-05,87247.93000000,91000.00000000,86329.22000000,90603.73000000,14900.93396554
2025-03-04,86161.09000000,88977.27000000,81444.00000000,87249.96000000,23130.37098654
2025-03-03,94265.47000000,94415.61000000,85007.01000000,86161.10000000,22691.67068614
2025-03-02,86018.82000000,95128.88000000,85003.35000000,94265.48000000,16751.22972996
2025-03-01,84297.74000000,86534.96000000,83772.54000000,86018.76000000,6852.54412620
2025-02-28,84627.50000000,85116.19000000,78167.81000000,84297.73000000,30755.74245077
2025-02-27,84111.77000000,86993.87000000,82554.11000000,84625.19000000,16836.55524727
2025-02-26,88583.17000000,89305.68000000,82111.12000000,84111.78000000,21568.55463119
2025-02-25,91509.88000000,92549.99000000,85836.18000000,88583.74000000,31587.91715546
2025-02-24,96266.23000000,96515.41000000,91300.00000000,91510.82000000,12644.04350070
2025-02-23,96578.49000000,96679.93000000,95243.91000000,96265.98000000,3787.84705335
2025-02-22,96157.03000000,96982.52000000,95767.95000000,96582.12000000,7324.02366243
2025-02-21,98347.20000000,99517.52000000,94721.92000000,96157.03000000,19298.23921958
2025-02-20,96632.03000000,98768.54000000,96419.07000000,98347.20000000,10582.84622768
2025-02-19,95612.97000000,96880.00000000,95000.01000000,96632.03000000,6945.44897339
2025-02-18,95781.80000000,96730.00000000,93333.00000000,95607.40000000,8867.39878431
2025-02-17,96119.88000000,97050.64000000,95200.00000000,95781.80000000,3533.01273263
2025-02-16,97596.54000000,97738.22000000,96057.68000000,96119.88000000,2174.29326885
2025-02-15,97507.94000000,97997.85000000,97225.01000000,97596.94000000,1626.51929078
2025-02-14,96625.29000000,98890.11000000,96268.56000000,97509.03000000,7744.67640105
2025-02-13,97864.28000000,98100.00000000,95220.00000000,96625.29000000,6803.60789270
2025-02-12,95770.95000000,98119.98000000,94066.92000000,97862.53000000,9078.50356189
